Role,Company,Location,Image,Salary,Experience
Data Analyst,Petrolink Services Indonesia,"Setiabudi, Jakarta Selatan, DKI Jakarta, Indonesia",https://images.glints.com/unsafe/glints-dashboard.s3.amazonaws.com/company-logo/7cf4569f6ff4db19e418c1a97d4544e7.png,IDR8.000.000 - 15.000.000,"Setiabudi, Jakarta Selatan, DKI Jakarta, Indonesia"
Data Analyst,Astra Financial,"Tanah Abang, Jakarta Pusat, DKI Jakarta, Indonesia",https://images.glints.com/unsafe/glints-dashboard.s3.amazonaws.com/company-logo/81f99737f8c2bb22fdb357e3a64d613f.jpg,Perusahaan tidak menampilkan gaji,IDR8.000.000 - 15.000.000
Data Analyst,Pt Pancajaya Sejati,"Margaasih, Kab. Bandung, Jawa Barat, Indonesia",https://images.glints.com/unsafe/glints-dashboard.s3.amazonaws.com/company-logo/9555ddbb88eda4a78e2b560efc42293d.jpg,IDR3.500.000 - 4.000.000,3 – 5 tahun
Data Analyst,PT Bannister Corporindo,"Senen, Jakarta Pusat, DKI Jakarta, Indonesia",https://images.glints.com/unsafe/glints-dashboard.s3.amazonaws.com/company-logo/a820531c95818e82ddc4f4f6e0a94bdd.png,IDR5.000.000 - 6.000.000,"Tanah Abang, Jakarta Pusat, DKI Jakarta, Indonesia"
Data Analyst,PT Valbury Asia Futures,"Setiabudi, Jakarta Selatan, DKI Jakarta, Indonesia",https://images.glints.com/unsafe/glints-dashboard.s3.amazonaws.com/company-logo/1c8c23d238e1321d81b33285fdcbc8ad.jpg,Perusahaan tidak menampilkan gaji,Perusahaan tidak menampilkan gaji
Data Analyst,PT Capella Dinamik Nusantara,"Batam Kota, Batam, Kepulauan Riau, Indonesia",https://images.glints.com/unsafe/glints-dashboard.s3.amazonaws.com/company-logo/7051f3e16163996fb0fa27844b020fd1.jpg,Perusahaan tidak menampilkan gaji,Kurang dari setahun
DATA ANALYST,PT Synapsa Medikatama Indonesia,"Kebayoran Lama, Jakarta Selatan, DKI Jakarta, Indonesia",https://images.glints.com/unsafe/glints-dashboard.s3.amazonaws.com/company-logo/16ad529914ff15b197d84fcd5128a1f5.jpg,Perusahaan tidak menampilkan gaji,"Margaasih, Kab. Bandung, Jawa Barat, Indonesia"
Data Analyst,BT Batik Trusmi,"Plered, Kab. Cirebon, Jawa Barat, Indonesia",https://images.glints.com/unsafe/glints-dashboard.s3.amazonaws.com/company-logo/607d9b9152c91635c9f6742ae9749b5c.jpg,IDR3.000.000,IDR3.500.000 - 4.000.000
Data Analyst,PT Andalan Utama Trans Logistik (Auto Cargo),"Semarang Timur, Semarang, Jawa Tengah, Indonesia",https://images.glints.com/unsafe/glints-dashboard.s3.amazonaws.com/company-logo/b60556338148c8b3b8b4e0bdf1ed7c03.png,Perusahaan tidak menampilkan gaji,1 – 3 tahun
Data Analyst,Eduwork.id,"Setiabudi, Jakarta Selatan, DKI Jakarta, Indonesia",https://images.glints.com/unsafe/glints-dashboard.s3.amazonaws.com/company-logo/a3a0b0a3454e5dab90d591e9361dd6e0.jpg,Perusahaan tidak menampilkan gaji,"Senen, Jakarta Pusat, DKI Jakarta, Indonesia"
